"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00032010","Older Adult- Age 65-85","V1","2","3","3","1","3","2","4","2","3","4","2","3","3","2","3","2","2","2","2","3","1","3","2","3","4","4","3","1","3","3","3","2","2","3","4","4","2","2","3","4","3","1","1","3","3","2","3","1","3","3","3","3","3","2","2","2","4","3","2","24","19","20","27","25","115"
"A00061598","ONE_DAY- Age 22-59","VA","3","3","3","2","4","2","2","1","2","4","3","3","2","2","4","2","4","3","2","3","1","4","2","4","4","2","2","1","2","4","2","2","2","3","4","4","2","3","3","4","4","1","1","4","4","4","2","2","1","4","2","2","4","3","4","1","2","3","4","25","21","23","30","17","116"
"A00058436","Older Adult- Age 65-85","V1","2","2","2","2","3","2","1","3","3","4","1","3","4","3","3","2","2","2","1","3","2","3","4","2","4","2","2","1","2","4","2","4","2","4","4","4","2","2","3","3","4","3","2","3","4","1","3","2","1","4","3","2","3","2","4","3","2","4","4","27","19","23","27","21","117"
"A00039490","Older Adult- Age 65-85","V1","3","4","2","2","3","2","1","1","4","4","1","1","3","3","4","2","3","4","2","3","3","3","3","2","3","4","2","2","3","2","3","2","2","3","3","1","3","2","3","3","3","3","2","3","3","4","3","2","2","3","3","4","3","2","3","4","2","3","3","27","23","22","24","28","124"
"A00040461","Adult- Age 22-59","V1","1","4","2","1","4","1","3","4","3","3","3","3","3","3","3","2","4","1","2","3","2","3","2","2","3","4","2","2","2","3","2","2","2","3","3","4","2","1","3","3","3","2","2","2","2","2","2","2","2","2","2","4","3","2","3","2","3","2","2","26","20","21","27","30","124"
"A00035337","Older Adult- Age 65-85","V1","2","3","2","2","3","1","3","2","3","3","2","1","2","1","2","2","3","3","2","3","1","2","3","2","4","4","2","1","3","3","3","2","2","3","3","4","2","2","2","3","2","2","1","2","3","2","1","2","1","3","3","4","3","2","3","1","3","3","3","29","17","21","28","28","123"
"A00039895","Adult- Age 22-59","V1","2","3","3","1","4","2","2","2","3","4","2","2","2","2","4","2","4","3","2","4","2","4","3","2","4","4","1","2","3","4","2","3","2","3","4","4","2","3","2","4","2","1","2","3","4","3","2","2","2","4","2","2","3","2","4","1","2","3","4","26","23","19","29","17","114"
"A00054897","Adult- Age 22-59","V1","3","1","1","2","3","2","1","3","3","3","4","2","1","3","3","1","2","3","3","3","3","2","3","2","4","4","2","1","2","4","2","2","2","3","3","3","3","3","2","3","1","2","2","3","3","4","2","2","2","2","3","2","4","2","3","1","1","1","3","35","25","24","32","28","144"
"A00053625","Older Adult- Age 65-85","V1","2","4","1","1","4","1","2","2","4","4","1","4","3","1","4","1","4","4","1","4","1","4","2","1","4","2","1","1","4","4","2","1","1","4","4","2","1","1","3","4","4","1","1","4","4","1","3","1","1","4","4","4","4","2","4","1","3","4","4","16","12","11","32","15","86"
"A00028184","Adult- Age 22-59","V1","1","2","2","1","1","1","2","3","4","2","1","1","3","1","3","1","4","2","1","4","1","2","3","2","3","2","2","1","4","3","2","1","1","3","3","2","1","1","2","4","4","1","1","4","2","4","4","1","1","1","2","2","3","1","3","4","3","1","1","29","11","12","27","34","113"
"A00064081","ONE_DAY","VA","3","4","2","1","4","2","2","2","4","4","3","3","4","1","4","3","4","4","2","4","3","4","3","2","4","4","1","1","4","4","3","1","1","2","4","4","4","2","4","4","4","1","2","4","3","4","3","2","3","3","2","4","3","2","4","2","2","4","4","20","25","16","20","19","100"
"A00054019","ENROLLED","V1","3","4","1","2","3","2","3","2","4","4","2","3","2","2","4","2","4","1","2","3","2","4","1","1","4","3","1","2","4","4","1","2","2","3","4","1","2","2","3","4","2","2","2","4","4","2","3","2","2","4","4","1","4","2","4","2","4","2","2","19","23","17","41","18","118"
"A00056949","Adult- Age 22-59","V1","1","4","4","4","4","3","4","3","2","4","4","4","4","3","4","2","4","4","3","4","4","4","4","4","4","2","4","2","2","4","4","4","4","4","4","4","3","2","4","4","4","2","2","2","4","4","3","2","3","4","4","4","4","3","4","4","2","4","4","18","29","32","15","16","110"
"A00061802","ONE_DAY- Age 22-59","VA","1","3","2","1","4","1","4","2","4","4","1","2","1","1","4","1","4","1","1","4","1","2","4","2","4","4","1","2","3","4","2","1","1","4","4","2","1","1","4","4","2","4","2","4","4","4","4","1","1","4","2","2","4","2","4","2","4","2","4","23","13","14","32","14","96"
"A00053474","Adult-Age 18-21","V1","3","4","2","1","4","1","3","3","4","4","3","3","1","2","4","2","4","1","1","4","1","4","2","3","4","1","1","2","4","4","2","1","1","3","4","4","1","2","4","4","3","1","1","4","4","1","4","2","2","4","4","1","4","1","4","2","4","4","4","15","20","13","37","14","99"
"A00058318","Older Adult- Age 65-85","V1","4","4","2","1","4","1","4","2","4","1","2","3","2","2","4","2","4","1","2","4","2","4","3","1","4","4","1","1","4","4","2","1","1","4","4","3","1","3","2","4","2","1","2","4","4","1","4","2","2","4","4","1","4","2","4","1","4","4","3","16","22","12","36","18","104"
"A00037831","Adult- Age 22-59","V1","2","4","3","1","4","2","4","4","3","4","1","4","3","2","4","2","4","4","4","4","2","3","3","2","4","4","1","2","4","4","3","1","1","4","4","4","2","2","3","4","4","1","1","4","4","4","3","2","2","4","2","4","4","2","3","4","4","4","4","17","19","18","16","15","85"
"A00052502","Adult-Age 18-21","V1","4","4","1","1","4","2","1","2","4","4","3","1","4","2","4","2","2","1","2","4","2","2","2","3","4","1","2","1","3","4","1","2","1","1","4","3","2","3","1","4","1","1","1","3","4","2","1","2","1","4","3","1","4","3","3","2","4","1","3","36","22","20","39","16","133"
"A00052560","ENROLLED","V1","2","4","2","1","4","1","2","2","4","4","1","4","2","2","4","2","4","4","2","4","2","4","4","1","4","4","1","1","4","4","1","2","1","4","4","2","2","3","3","4","2","2","1","4","4","2","4","2","2","4","4","2","4","2","4","2","4","4","4","16","18","15","31","14","94"
"A00037712","Adult- Age 22-59","V1","4","3","1","2","4","1","4","3","4","4","3","4","2","2","4","1","4","1","1","4","1","4","1","2","4","1","2","2","4","4","1","1","2","4","4","1","1","3","3","4","2","2","1","4","4","1","3","2","1","4","3","1","4","1","4","2","4","3","3","16","21","16","43","15","111"
"A00066282","ONE_DAY- Age 22-59","VA","3","1","2","2","1","2","1","2","2","2","1","2","2","2","2","2","2","2","1","2","3","2","2","2","2","2","2","2","3","3","2","2","2","2","3","2","3","2","2","2","2","3","2","2","2","3","3","3","3","2","2","2","2","3","2","2","2","1","2","38","25","22","35","41","161"
"A00029303","Adult-Age 18-21","V1","3","4","2","2","4","2","4","3","3","4","1","3","2","3","4","2","4","3","2","4","2","4","3","3","4","3","2","2","4","4","3","2","2","3","4","4","2","2","3","4","3","2","1","4","4","4","3","2","2","4","4","2","4","2","4","2","3","4","4","16","21","22","26","15","100"
"A00053874","Adult- Age 22-59","V1","2","3","3","2","4","2","2","1","3","4","3","2","4","3","4","2","4","1","2","4","2","3","2","3","4","4","2","2","2","4","3","2","2","4","4","2","2","2","2","4","4","2","2","2","3","1","4","2","2","4","2","2","3","2","3","2","3","2","3","29","23","21","31","19","123"
"A00040874","Adult- Age 22-59","V1","3","2","1","1","3","2","1","1","4","4","2","2","3","1","3","1","2","2","2","4","4","2","2","3","4","1","2","1","4","4","1","2","2","4","4","1","1","2","1","4","1","1","1","4","4","1","1","2","1","4","2","1","4","3","3","1","1","3","4","31","21","18","44","20","134"
"A00059663","Older Adult- Age 65-85","V1","2","4","3","2","4","2","3","3","3","4","2","3","3","2","4","2","4","4","3","4","3","4","3","2","4","4","2","2","3","4","4","1","2","3","4","2","2","2","3","4","2","2","2","4","4","4","4","2","2","4","3","4","4","2","4","2","3","3","4","20","23","19","22","15","99"
"A00043704","ENROLLED","V1","2","3","1","1","3","2","3","1","4","3","1","2","1","1","4","1","4","1","1","3","1","4","2","1","3","4","1","1","3","4","2","1","1","3","4","3","1","2","3","4","2","1","1","3","3","1","3","1","1","3","3","1","3","1","3","1","2","2","2","23","14","11","40","26","114"
"A00057965","ENROLLED","V1","1","4","2","1","4","1","4","4","4","4","3","4","2","2","4","1","4","1","2","3","2","3","2","1","4","1","1","2","3","4","1","1","1","3","4","1","1","2","3","4","1","1","2","4","4","2","2","2","1","2","3","1","3","2","4","2","2","4","3","18","18","14","40","21","111"
"A00040493","Adult- Age 22-59","V1","3","4","2","1","4","1","3","4","2","4","1","2","3","1","4","1","4","2","3","4","2","4","4","2","4","2","2","1","3","4","2","3","1","4","4","2","2","2","4","4","3","2","2","4","4","4","2","1","1","4","4","2","4","3","4","3","4","4","4","18","16","22","27","14","97"
"A00037492","Adult- Age 22-59","V1","2","3","2","2","3","2","3","3","3","3","2","3","2","2","3","2","3","2","2","3","2","3","2","2","3","3","2","2","3","2","2","2","2","3","3","3","2","2","3","3","3","2","2","3","3","3","4","1","1","4","3","1","4","2","3","3","3","3","2","24","20","19","31","28","122"
"A00056164","Older Adult- Age 60-64","V1","2","4","2","1","4","1","4","2","4","3","1","4","1","1","4","1","4","4","1","4","1","4","3","1","4","4","1","1","4","4","2","1","1","3","4","4","1","2","3","4","3","1","1","4","4","4","4","1","1","4","4","4","4","2","4","2","4","4","4","15","13","10","25","15","78"
"A00055806","Adult- Age 22-59","V1","2","4","2","1","4","2","4","4","4","4","1","3","2","2","4","1","4","4","1","3","1","4","3","2","4","4","1","2","3","4","3","2","2","3","4","4","2","2","3","4","4","2","1","4","4","4","4","2","1","4","3","4","4","3","4","4","3","3","3","20","17","15","18","17","87"
"A00073283","ENROLLED","VA_ALG","2","2","2","2","4","2","3","3","3","3","3","1","2","2","3","2","3","4","2","2","2","3","2","3","3","4","2","2","2","3","3","3","3","3","3","4","2","2","3","4","4","2","2","3","3","4","2","3","2","3","2","4","3","2","4","2","3","2","3","30","25","23","22","26","126"
"A00060430","Adult- Age 22-59","V1","1","4","3","2","4","1","3","4","3","4","1","4","4","2","4","1","4","1","1","4","2","4","3","2","4","4","1","1","2","4","4","2","1","2","4","3","2","1","4","4","4","2","1","2","4","4","2","1","2","4","2","2","4","2","4","4","3","4","4","22","13","19","20","15","89"
"A00035798","Adult- Age 22-59","V1","2","3","3","1","3","1","4","4","4","4","1","4","2","1","4","1","4","4","3","4","2","4","4","1","4","4","1","1","4","4","4","1","1","4","4","4","2","1","4","4","4","1","1","4","4","4","4","1","1","1","4","4","4","2","3","4","4","4","4","14","13","13","15","19","74"
"A00044405","Adult- Age 22-59","V1","2","4","2","2","4","2","3","4","4","4","1","4","2","3","4","1","4","2","2","4","2","4","4","4","4","2","2","1","4","4","2","3","2","4","4","4","1","2","4","4","4","2","2","4","4","2","4","2","2","4","4","2","4","2","4","2","3","4","4","14","19","21","28","15","97"
"A00035072","Adult- Age 22-59","V1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","3","2","2","4","2","2","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","2","2","3","2","4","4","2","2","2","1","2","2","3","2","3","2","2","2","33","22","21","32","41","149"
"A00028521","Older Adult- Age 65-85","V1","2","4","3","2","4","1","3","3","3","4","2","3","2","1","4","1","4","4","2","4","1","2","4","1","4","4","1","1","2","4","2","1","1","2","4","4","1","1","2","4","4","1","1","4","4","4","4","1","1","4","2","4","4","2","4","4","4","4","4","25","13","13","18","14","83"
"A00039041","Older Adult- Age 60-64","V1","4","2","1","1","4","1","3","2","4","4","3","2","2","1","4","2","4","2","1","4","2","4","2","2","4","2","1","1","2","4","1","2","1","2","4","2","2","2","2","4","2","2","2","2","2","2","2","2","2","4","2","3","4","3","4","2","2","2","2","31","22","16","37","20","126"
"A00058952","ENROLLED","VA_ALG","1","3","2","2","3","2","3","2","3","3","2","3","2","3","3","2","3","2","2","3","2","3","3","2","3","2","1","3","3","2","2","2","1","3","3","2","2","1","3","3","3","2","2","3","3","3","3","2","3","3","3","3","3","3","3","2","2","3","2","25","21","20","32","31","129"
"A00040500","Adult- Age 22-59","V1","3","4","2","1","3","2","3","3","3","3","2","2","2","2","3","2","4","4","2","4","2","4","3","2","4","2","2","2","3","4","2","2","2","3","4","3","2","2","3","3","2","2","2","4","4","3","3","2","2","4","2","4","4","3","3","2","3","3","3","23","23","19","28","21","114"
"A00044068","Older Adult- Age 65-85","V1","2","3","2","2","3","2","2","2","3","3","2","2","3","2","3","2","3","2","2","3","3","2","3","3","3","2","2","2","3","3","2","2","2","3","3","3","2","2","3","3","2","2","2","2","3","3","2","3","2","3","2","2","3","2","3","3","2","3","2","29","24","22","31","30","136"
"A00040181","Older Adult- Age 65-85","V1","2","3","2","2","3","3","2","2","3","3","3","2","2","2","3","2","2","4","2","3","2","2","2","3","3","4","2","2","2","3","2","3","3","2","4","1","2","3","2","2","3","3","2","2","2","4","2","3","3","2","1","4","1","3","2","2","2","1","2","37","28","24","28","35","152"
"A00043998","ENROLLED","V1","2","4","2","1","4","1","4","2","3","4","4","4","3","1","4","2","4","2","2","4","3","4","4","2","4","2","2","1","3","4","4","2","2","4","4","2","2","1","4","4","3","2","1","4","4","2","2","1","1","4","3","2","4","2","4","2","4","4","4","15","19","19","30","14","97"
"A00053455","ENROLLED","V1","1","3","4","2","4","1","2","3","2","4","1","4","4","2","4","2","4","3","2","4","2","4","4","2","4","2","2","1","3","4","3","2","2","3","4","3","2","1","3","4","4","2","1","3","3","3","3","1","2","4","3","2","4","2","4","4","3","3","4","22","15","21","21","16","95"
"A00044345","Adult- Age 22-59","V1","4","4","4","2","4","1","3","3","3","4","1","3","3","2","4","2","4","3","2","4","2","4","4","3","3","4","1","2","4","4","3","2","1","4","4","4","1","1","3","4","4","1","2","4","4","4","4","1","2","3","2","4","4","2","3","4","4","4","3","18","19","17","16","18","88"
"A00057372","ENROLLED","V1","2","3","3","1","3","1","2","4","3","4","2","2","2","2","4","1","3","1","2","4","2","3","3","2","4","2","2","2","4","4","4","1","2","4","4","4","2","2","3","4","4","2","2","4","4","4","4","2","1","4","3","2","4","2","4","3","3","4","3","22","19","17","24","17","99"
"A00039966","Older Adult- Age 65-85","V1","2","4","3","2","4","2","3","2","3","4","2","3","4","2","4","2","3","4","2","4","2","3","3","2","4","4","1","1","3","4","3","1","2","3","4","4","2","2","3","4","3","2","2","3","4","3","3","2","2","4","2","4","3","2","3","4","2","2","3","25","21","18","19","19","102"
"A00055215","Adult- Age 22-59","V1","1","4","4","1","2","2","3","4","2","2","3","2","3","2","2","2","2","3","1","2","3","1","3","4","1","1","3","2","1","2","3","2","2","1","2","3","3","1","1","2","2","3","2","1","2","3","1","1","1","2","2","2","2","4","2","3","1","2","2","39","20","26","26","44","155"
"A00044171","Adult-Age 18-21","V1","3","4","2","1","4","2","4","2","4","4","1","4","3","1","4","2","4","2","1","4","1","4","2","1","4","2","1","1","4","4","2","1","1","4","4","4","1","2","4","4","2","1","1","4","4","2","4","2","1","4","4","1","4","1","4","2","4","4","4","12","17","10","34","14","87"
"A00035951","Adult- Age 22-59","V1","2","3","2","2","4","2","2","3","3","3","2","3","2","2","3","2","3","4","2","3","2","3","4","2","3","4","2","1","3","4","3","2","2","3","3","4","2","2","3","4","4","2","2","3","4","4","3","2","2","4","3","4","3","2","4","4","3","4","4","24","21","20","18","21","104"
"A00058571","ENROLLED","V1","1","1","1","1","1","1","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","42","11","16","42","56","167"
"A00061483","ONE_DAY-Age 60-64","VA","1","2","2","1","4","1","2","3","2","4","3","3","1","2","4","1","3","4","2","2","2","2","3","2","3","4","1","1","3","4","3","2","1","3","3","4","1","1","3","4","3","1","2","4","3","4","3","2","2","2","2","4","3","1","3","4","2","3","2","26","17","17","21","27","108"
"A00039331","Adult- Age 22-59","V1","2","4","2","1","4","1","4","3","4","4","1","1","3","2","3","1","3","3","2","4","2","3","2","2","3","4","2","1","4","4","3","2","2","3","3","4","4","1","3","3","3","1","1","3","4","4","4","1","2","3","3","4","3","2","3","4","3","3","3","23","15","18","21","23","100"
"A00060407","Adult- Age 22-59","V1","1","3","2","2","4","2","2","1","4","3","3","3","2","2","4","2","3","2","1","3","1","2","2","1","3","2","1","1","4","4","1","2","1","4","3","2","1","1","3","4","3","1","1","4","3","1","2","2","1","4","3","1","4","2","2","1","2","3","2","23","16","15","40","25","119"
"A00053577","Adult- Age 22-59","V1","2","3","2","1","3","2","2","1","3","3","3","3","3","2","3","2","3","2","3","3","3","3","2","2","3","1","2","2","3","3","2","2","2","3","3","2","2","2","3","3","2","2","2","3","4","3","3","2","2","3","2","1","3","2","3","4","3","2","3","27","24","20","35","27","133"
"A00062254","ONE_DAY-Age 65-85","VA","3","4","2","1","4","2","4","1","3","3","1","2","2","2","3","2","3","2","2","3","2","3","2","1","3","2","1","2","3","3","2","1","2","3","2","2","2","2","4","3","2","1","2","4","3","1","2","2","2","3","4","2","3","2","3","3","3","2","2","21","22","16","37","29","125"
"A00035881","Adult- Age 22-59","V1","2","4","1","1","4","1","4","2","4","4","1","4","2","1","4","1","4","1","3","4","4","4","3","2","4","4","1","1","3","4","4","1","1","4","4","3","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","2","4","2","4","3","4","4","3","14","15","13","27","15","84"
"A00055446","ENROLLED","V1","1","4","1","1","1","1","4","1","1","4","4","4","4","2","4","1","1","4","4","1","4","1","4","3","2","4","1","4","4","1","4","4","4","1","4","4","1","4","2","4","4","2","1","1","1","4","4","1","1","1","1","4","1","1","1","4","4","1","4","32","26","23","18","37","136"
"A00029473","Older Adult- Age 65-85","V1","2","4","2","1","4","1","2","4","4","4","1","4","3","2","4","2","4","2","2","4","2","3","3","1","4","4","1","1","4","4","4","1","1","4","4","4","1","3","4","4","4","2","2","4","4","2","3","3","2","4","4","2","4","1","4","4","4","3","3","16","20","14","22","15","87"
"A00066130","ONE_DAY-Age 65-85","VA","3","4","3","1","4","1","4","3","4","4","3","4","3","1","4","1","4","3","1","4","2","4","2","2","4","2","1","1","4","4","2","1","2","4","4","4","1","2","3","4","2","1","1","4","4","1","4","2","2","4","3","2","4","2","4","2","4","4","4","15","20","11","31","14","91"
"A00040091","Older Adult- Age 60-64","V1","2","4","3","2","4","2","3","3","3","4","2","3","4","2","4","2","4","2","2","4","2","3","4","2","4","4","2","2","4","4","4","2","2","4","4","4","2","2","4","4","4","2","2","4","4","4","4","2","2","4","3","4","4","2","4","4","3","4","4","17","22","19","16","15","89"
"A00029126","Adult- Age 22-59","V1","3","4","2","2","4","1","2","2","3","3","2","3","2","2","3","2","3","2","2","4","3","2","2","2","2","1","2","2","3","4","2","2","2","3","4","1","1","3","4","4","2","1","2","4","4","2","2","2","1","4","3","2","4","2","3","1","3","3","4","23","23","19","39","20","124"
"A00057406","ENROLLED","V1","2","1","2","2","3","3","3","2","3","3","3","3","3","3","3","3","4","4","2","3","3","4","3","2","4","4","2","2","1","3","2","2","2","1","2","4","2","2","2","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","30","29","21","24","29","133"
"A00058998","Older Adult- Age 65-85","V1","1","4","4","1","4","1","4","4","3","4","1","2","4","1","4","1","4","2","3","4","1","4","4","1","4","4","1","1","4","4","4","1","1","2","4","4","1","1","3","4","4","1","1","4","4","4","3","1","2","4","3","4","4","1","4","4","4","4","2","18","12","14","14","16","74"
"A00060170","Older Adult- Age 65-85","V1","3","3","2","1","3","2","3","3","2","3","2","3","2","1","4","2","3","2","2","3","2","3","2","2","3","4","2","1","3","3","2","2","2","3","3","2","2","2","3","4","2","2","2","3","4","1","3","2","2","3","3","1","3","2","3","2","3","3","3","24","22","19","35","25","125"
